time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum,sunshine_duration,relative_humidity_2m_mean,cloudcover_mean,sunrise,sunset,date,zone,latitude,longitude,source_file,city,year,month,month_name,day_of_year,season,sunshine_hours,temperature_range,rain_day,hot_day,freezing_day,windy_day,comfort_temperature,dry_day,sunny_enough,low_cloud_cover,suitable_retreat_day,ok_day,suitability_label,ok_day_label,month_sin,month_cos,day_sin,day_cos
2018-01-19,13.9,3.1,7.4,0.0,8.9,28.8,9.36,31019.0,85,15,2018-01-19T07:52,2018-01-19T17:31,2018-01-19,VILA_REAL,41.301,-7.744,raw_VILA_REAL.csv,Vila Real,2018,1,January,19,Winter,8.616388888888888,10.8,False,False,False,False,False,True,True,True,0,0,Not suitable,Not OK,0.49999999999999994,0.8660254037844387,0.321057654185271,0.9470596510722283
2018-01-20,8.1,3.0,5.6,0.0,18.1,34.6,9.55,31328.43,79,73,2018-01-20T07:47,2018-01-20T17:32,2018-01-20,GUARDA,40.537,-7.268,raw_GUARDA.csv,Guarda,2018,1,January,20,Winter,8.702341666666667,5.1,False,False,False,False,False,True,True,True,0,0,Not suitable,Not OK,0.49999999999999994,0.8660254037844387,0.3373010691361842,0.9413968285264122
2018-01-20,11.5,3.4,7.5,0.0,12.6,37.8,5.32,12936.69,87,79,2018-01-20T07:51,2018-01-20T17:32,2018-01-20,VILA_REAL,41.301,-7.744,raw_VILA_REAL.csv,Vila Real,2018,1,January,20,Winter,3.593525,8.1,False,False,False,False,False,True,True,True,0,0,Not suitable,Not OK,0.49999999999999994,0.8660254037844387,0.3373010691361842,0.9413968285264122
2018-01-21,7.9,5.5,6.5,0.0,16.7,32.0,5.79,23510.79,96,96,2018-01-21T07:47,2018-01-21T17:33,2018-01-21,GUARDA,40.537,-7.268,raw_GUARDA.csv,Guarda,2018,1,January,21,Winter,6.530775,2.4000000000000004,False,False,False,False,False,True,True,False,0,0,Not suitable,Not OK,0.49999999999999994,0.8660254037844387,0.3534446712740877,0.9354554315134164
2018-01-21,12.2,8.7,10.0,0.3,10.8,31.0,3.87,8450.88,96,99,2018-01-21T07:51,2018-01-21T17:33,2018-01-21,VILA_REAL,41.301,-7.744,raw_VILA_REAL.csv,Vila Real,2018,1,January,21,Winter,2.3474666666666666,3.5,False,False,False,False,False,True,False,False,0,0,Not suitable,Not OK,0.49999999999999994,0.8660254037844387,0.3534446712740877,0.9354554315134164
2018-01-22,8.7,3.6,5.3,0.0,15.2,30.2,7.64,25607.53,93,56,2018-01-22T07:46,2018-01-22T17:34,2018-01-22,GUARDA,40.537,-7.268,raw_GUARDA.csv,Guarda,2018,1,January,22,Winter,7.1132027777777775,5.1,False,False,False,False,False,True,True,True,0,0,Not suitable,Not OK,0.49999999999999994,0.8660254037844387,0.3694836834473831,0.9292372181882051
2018-01-22,12.9,5.7,9.4,0.0,6.4,23.0,6.74,24438.6,93,59,2018-01-22T07:50,2018-01-22T17:34,2018-01-22,VILA_REAL,41.301,-7.744,raw_VILA_REAL.csv,Vila Real,2018,1,January,22,Winter,6.7885,7.2,False,False,False,False,False,True,True,True,0,0,Not suitable,Not OK,0.49999999999999994,0.8660254037844387,0.3694836834473831,0.9292372181882051
2018-01-23,8.6,-0.2,3.7,0.0,12.8,22.0,9.63,31269.41,91,52,2018-01-23T07:45,2018-01-23T17:35,2018-01-23,GUARDA,40.537,-7.268,raw_GUARDA.csv,Guarda,2018,1,January,23,Winter,8.685947222222222,8.799999999999999,False,False,True,False,False,True,True,True,0,0,Not suitable,Not OK,0.49999999999999994,0.8660254037844387,0.38541335945432564,0.9227440286201427
2018-01-23,10.8,4.6,7.5,0.0,6.6,17.3,6.18,22636.37,92,68,2018-01-23T07:49,2018-01-23T17:35,2018-01-23,VILA_REAL,41.301,-7.744,raw_VILA_REAL.csv,Vila Real,2018,1,January,23,Winter,6.287880555555556,6.200000000000001,False,False,False,False,False,True,True,True,0,0,Not suitable,Not OK,0.49999999999999994,0.8660254037844387,0.38541335945432564,0.9227440286201427
2018-01-24,9.7,-0.0,4.8,0.0,10.1,17.3,10.47,29870.48,81,61,2018-01-24T07:45,2018-01-24T17:36,2018-01-24,GUARDA,40.537,-7.268,raw_GUARDA.csv,Guarda,2018,1,January,24,Winter,8.297355555555555,9.7,False,False,False,False,False,True,True,True,0,0,Not suitable,Not OK,0.49999999999999994,0.8660254037844387,0.4012289854475009,0.9159777842484877
